study,symbol,date,strategy,maker_fee_rate,latency_ms,realized_spread,inventory_revaluation,fee_cost,net_pnl
crypto,BTCUSDT,2025-07-03,glft_imbalance_gamma_0.001_beta_2,0.0001,10,205.6975593500155,-1176.96105580001,768.72687213454,-1739.9903685845345
crypto,BTCUSDT,2025-07-03,glft_imbalance_gamma_0.001_beta_2,0.0,10,205.6975593500155,-1176.96105580001,0.0,-971.2634964499945
crypto,BTCUSDT,2025-07-03,glft_imbalance_gamma_0.001_beta_2,-5e-05,10,205.6975593500155,-1176.96105580001,-384.36343606727,-586.9000603827244
crypto,BTCUSDT,2025-07-03,glft_imbalance_gamma_0.001_beta_2,0.0002,50,176.65997775001367,-1158.8087847500096,1544.1927371132201,-2526.341544113216
crypto,BTCUSDT,2025-07-03,glft_imbalance_gamma_0.001_beta_2,0.0001,50,176.65997775001367,-1158.8087847500096,772.0963685566101,-1754.245175556606
crypto,BTCUSDT,2025-07-03,glft_imbalance_gamma_0.001_beta_2,0.0,50,176.65997775001367,-1158.8087847500096,0.0,-982.1488069999959
crypto,BTCUSDT,2025-07-03,glft_imbalance_gamma_0.001_beta_2,-5e-05,50,176.65997775001367,-1158.8087847500096,-386.04818427830503,-596.1006227216909
crypto,BTCUSDT,2025-07-03,glft_imbalance_gamma_0.001_beta_2,0.0002,200,112.38878350001623,-1100.421439400011,1526.3128230173602,-2514.3454789173547
crypto,BTCUSDT,2025-07-03,glft_imbalance_gamma_0.001_beta_2,0.0001,200,112.38878350001623,-1100.421439400011,763.1564115086801,-1751.1890674086749
crypto,BTCUSDT,2025-07-03,glft_imbalance_gamma_0.001_beta_2,0.0,200,112.38878350001623,-1100.421439400011,0.0,-988.0326558999948
crypto,BTCUSDT,2025-07-03,glft_imbalance_gamma_0.001_beta_2,-5e-05,200,112.38878350001623,-1100.421439400011,-381.57820575434005,-606.4544501456547
crypto,BTCUSDT,2025-07-04,symmetric,0.0002,10,-73.71182074999344,-1009.7382101000154,1761.6908276092202,-2845.140858459229
crypto,BTCUSDT,2025-07-04,symmetric,0.0001,10,-73.71182074999344,-1009.7382101000154,880.8454138046101,-1964.2954446546191
crypto,BTCUSDT,2025-07-04,symmetric,0.0,10,-73.71182074999344,-1009.7382101000154,0.0,-1083.450030850009
crypto,BTCUSDT,2025-07-04,symmetric,-5e-05,10,-73.71182074999344,-1009.7382101000154,-440.42270690230504,-643.027323947704
crypto,BTCUSDT,2025-07-04,symmetric,0.0002,50,-81.3841450499944,-970.4296423500136,1723.0521427521003,-2774.8659301521084
crypto,BTCUSDT,2025-07-04,symmetric,0.0001,50,-81.3841450499944,-970.4296423500136,861.5260713760501,-1913.3398587760582
crypto,BTCUSDT,2025-07-04,symmetric,0.0,50,-81.3841450499944,-970.4296423500136,0.0,-1051.813787400008
crypto,BTCUSDT,2025-07-04,symmetric,-5e-05,50,-81.3841450499944,-970.4296423500136,-430.76303568802507,-621.050751711983
crypto,BTCUSDT,2025-07-04,symmetric,0.0002,200,-70.81162724999515,-891.7474974000137,1595.4003509260601,-2557.959475576069
crypto,BTCUSDT,2025-07-04,symmetric,0.0001,200,-70.81162724999515,-891.7474974000137,797.7001754630301,-1760.259300113039
crypto,BTCUSDT,2025-07-04,symmetric,0.0,200,-70.81162724999515,-891.7474974000137,0.0,-962.5591246500088
crypto,BTCUSDT,2025-07-04,symmetric,-5e-05,200,-70.81162724999515,-891.7474974000137,-398.85008773151503,-563.7090369184938
crypto,BTCUSDT,2025-07-04,as_gamma_0.001,0.0002,10,0.40528415000021406,-1.3370322500002247,2.25807607204,-3.189824172040011
crypto,BTCUSDT,2025-07-04,as_gamma_0.001,0.0001,10,0.40528415000021406,-1.3370322500002247,1.12903803602,-2.0607861360200106
crypto,BTCUSDT,2025-07-04,as_gamma_0.001,0.0,10,0.40528415000021406,-1.3370322500002247,0.0,-0.9317481000000107
crypto,BTCUSDT,2025-07-04,as_gamma_0.001,-5e-05,10,0.40528415000021406,-1.3370322500002247,-0.56451901801,-0.3672290819900107
crypto,BTCUSDT,2025-07-04,as_gamma_0.001,0.0002,50,0.24407449999993788,-1.0991635000000695,2.5239207309600005,-3.379009730960132
crypto,BTCUSDT,2025-07-04,as_gamma_0.001,0.0001,50,0.24407449999993788,-1.0991635000000695,1.2619603654800002,-2.1170493654801317
crypto,BTCUSDT,2025-07-04,as_gamma_0.001,0.0,50,0.24407449999993788,-1.0991635000000695,0.0,-0.8550890000001315
crypto,BTCUSDT,2025-07-04,as_gamma_0.001,-5e-05,50,0.24407449999993788,-1.0991635000000695,-0.6309801827400001,-0.22410881726013143
crypto,BTCUSDT,2025-07-04,as_gamma_0.001,0.0002,200,0.18556920000017096,-1.451353400000241,2.61275881386,-3.87854301386007
crypto,BTCUSDT,2025-07-04,as_gamma_0.001,0.0001,200,0.18556920000017096,-1.451353400000241,1.30637940693,-2.5721636069300704
crypto,BTCUSDT,2025-07-04,as_gamma_0.001,0.0,200,0.18556920000017096,-1.451353400000241,0.0,-1.26578420000007
crypto,BTCUSDT,2025-07-04,as_gamma_0.001,-5e-05,200,0.18556920000017096,-1.451353400000241,-0.653189703465,-0.61259449653507
crypto,BTCUSDT,2025-07-04,glft_gamma_0.0001,0.0002,10,155.16029850001266,-803.2987907000102,1128.2044417918,-1776.3429339917975
crypto,BTCUSDT,2025-07-04,glft_gamma_0.0001,0.0001,10,155.16029850001266,-803.2987907000102,564.1022208959,-1212.2407130958975
