study,symbol,date,strategy,maker_fee_rate,latency_ms,horizon_seconds,sample_count,mean_markout
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0002,50,60,29596,-0.032219202324638894
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0001,50,1,29596,-0.026043714289092728
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0001,50,5,29596,-0.030948964915866913
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0001,50,30,29596,-0.03167628441343451
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0001,50,60,29596,-0.032219202324638894
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0,50,1,29596,-0.026043714289092728
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0,50,5,29596,-0.030948964915866913
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0,50,30,29596,-0.03167628441343451
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0,50,60,29596,-0.032219202324638894
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,-5e-05,50,1,29596,-0.026043714289092728
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,-5e-05,50,5,29596,-0.030948964915866913
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,-5e-05,50,30,29596,-0.03167628441343451
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,-5e-05,50,60,29596,-0.032219202324638894
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0002,200,1,28303,-0.02448237910822136
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0002,200,5,28303,-0.02954224643324024
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0002,200,30,28303,-0.03074342000494679
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0002,200,60,28303,-0.031110704234533854
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0001,200,1,28303,-0.02448237910822136
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0001,200,5,28303,-0.02954224643324024
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0001,200,30,28303,-0.03074342000494679
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0001,200,60,28303,-0.031110704234533854
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0,200,1,28303,-0.02448237910822136
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0,200,5,28303,-0.02954224643324024
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0,200,30,28303,-0.03074342000494679
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,0.0,200,60,28303,-0.031110704234533854
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,-5e-05,200,1,28303,-0.02448237910822136
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,-5e-05,200,5,28303,-0.02954224643324024
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,-5e-05,200,30,28303,-0.03074342000494679
crypto,BTCUSDT,2025-07-01,glft_gamma_0.0001,-5e-05,200,60,28303,-0.031110704234533854
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0002,10,1,30295,-0.02659084086647919
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0002,10,5,30295,-0.031478223398250425
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0002,10,30,30295,-0.03247831973758073
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0002,10,60,30295,-0.033071125309457466
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0001,10,1,30295,-0.02659084086647919
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0001,10,5,30295,-0.031478223398250425
crypto,BTCUSDT,2025-07-01,glft_imbalance_gamma_0.001_beta_2,0.0001,10,30,30295,-0.03247831973758073
